id,size,Relative Time (s),time_spent,access_type
6239,2666.4115810394287,42224,0,1
8469,0.0023746490478515625,42224,0,2
245,0.00012969970703125,42225,0,1
8470,0.08035564422607422,42225,0,2
5248,2666.3140773773193,42232,0,1
8471,0.12013721466064453,42234,0,2
5238,2666.797124862671,42235,0,1
8472,8.467286109924316,42236,0,2
5249,2666.6996212005615,42239,0,1
8473,71.59018421173096,42241,0,2
8474,0.4440126419067383,42242,0,2
30,9.5367431640625e-07,42247,0,1
8475,208516.62405014038,42250,0,2
5975,1097651.5187253952,42257,0,1
5255,2666.362274169922,42260,0,1
5268,2666.747817993164,42262,0,1
5575,1023645.6383314133,42262,0,1
8476,70.63739681243896,42264,0,2
8477,0.02366924285888672,42271,0,2
8478,42.226094245910645,42277,0,2
8479,0.4077167510986328,42278,0,2
5266,2666.3537425994873,42279,0,1
5826,1192849.2330350876,42280,0,1
5271,2666.7392864227295,42286,0,1
5247,53944.09265899658,42286,0,1
8480,5.84617805480957,42291,0,2
8481,0.13118457794189453,42292,0,2
5284,2666.40193939209,42296,0,1
5325,2666.787483215332,42309,0,1
8482,34608.38530063629,42318,0,2
8483,0.0011568069458007812,42321,0,2
5338,2666.3451385498047,42330,0,1
8484,73.82333087921143,42330,0,2
5294,6335.62886428833,42332,0,1
5294,6335.62886428833,42335,0,1
8485,70.09981155395508,42335,0,2
5345,2666.730682373047,42336,0,1
8486,0.02296161651611328,42337,0,2
5354,2666.393335342407,42337,0,1
8487,74613.16802024841,42339,0,2
8488,1.3051767349243164,42339,0,2
5269,0.005362510681152344,42342,0,1
8489,10.496109008789062,42353,0,2
5352,2666.7788791656494,42355,0,1
5361,2666.3848037719727,42362,0,1
265,0.00012874603271484375,42366,0,1
54,4.037049293518066,42367,0,1
8490,71.8356409072876,42370,0,2
8491,0.09506416320800781,42374,0,2
8492,249.1110372543335,42374,0,2
8493,70.79057598114014,42374,0,2
8494,2202.187568664551,42375,0,2
8495,16812.68618774414,42376,0,2
8496,0.3762197494506836,42386,0,2
19,0.014689445495605469,42389,0,1
30,9.5367431640625e-07,42390,0,1
8497,0.12529850006103516,42390,0,2
8498,0.3334522247314453,42392,0,2
5376,2666.433000564575,42397,0,1
5369,2666.770347595215,42397,0,1
8499,33.35060787200928,42401,0,2
8500,7340.269239425659,42402,0,2
5375,2666.8185443878174,42411,0,1
8501,1.0769538879394531,42417,0,2
8502,51927.23903942108,42418,0,2
8503,134.50065422058105,42419,0,2
8504,42.79775333404541,42420,0,2
8505,1.2160730361938477,42426,0,2
5393,2666.565552711487,42442,0,1
8506,70.12739849090576,42450,0,2
5412,2666.228205680847,42453,0,1
8507,74.08626651763916,42460,0,2
5378,2666.1800088882446,42461,0,1
8508,0.4146413803100586,42464,0,2
8509,71.75861072540283,42466,0,2
8510,861.0000200271606,42470,0,2
8511,0.0016460418701171875,42470,0,2
8512,374506.30694007874,42472,0,2
8513,54200.458000183105,42474,0,2
8514,0.025567054748535156,42475,0,2
8515,374506.5442237854,42476,0,2
8516,47.96780300140381,42476,0,2
5413,2666.6137495040894,42476,0,1
5424,2666.2196741104126,42478,0,1
8517,7.883587837219238,42483,0,2
265,0.00012874603271484375,42484,0,1
8518,70.80966377258301,42486,0,2
30,9.5367431640625e-07,42487,0,1
5425,2666.605217933655,42488,0,1
5269,0.005362510681152344,42499,0,1
8519,0.002643585205078125,42501,0,2
8520,1.319319725036621,42507,0,2
5430,2666.267870903015,42509,0,1
8521,0.135772705078125,42513,0,2
8522,73.9631700515747,42514,0,2
8523,46200.67368507385,42518,0,2
8524,266.01716232299805,42518,0,2
8523,46200.67368507385,42521,0,1
5432,2666.6534147262573,42522,0,1
8523,46200.67368507385,42525,0,1
245,0.00012969970703125,42534,0,1
8525,41.267998695373535,42537,0,2
8523,46200.67368507385,42537,0,1
8526,71.92707538604736,42539,0,2
8527,1457.371343612671,42543,0,2
8528,0.3728981018066406,42545,0,2
8523,46200.67368507385,42547,0,1
8523,46200.67368507385,42547,0,1
8523,46200.67368507385,42550,0,1
8529,7.552176475524902,42552,0,2
5408,537.6884183883667,42553,0,1
5436,2666.21107006073,42553,0,1
8500,7340.269239425659,42565,0,1
8530,0.0020608901977539062,42568,0,2
8531,16.91518497467041,42569,0,2
8532,70.9168586730957,42569,0,2
5438,2666.2592668533325,42573,0,1
5448,2666.6448106765747,42583,0,1
5462,2666.250735282898,42585,0,1
5477,2666.63627910614,42587,0,1
462,0.0013179779052734375,42590,0,1
8533,0.00193023681640625,42591,0,2
8534,0.11034965515136719,42592,0,2
8535,39.806535720825195,42594,0,2
5437,2666.596613883972,42596,0,1
8536,0.1497783660888672,42599,0,2
19,0.014689445495605469,42605,0,1
8537,8051.503167152405,42605,0,2
8538,70.23130893707275,42607,0,2
54,4.037049293518066,42616,0,1
5478,2666.2989320755005,42617,0,1
5683,1070187.5473833084,42626,0,1
30,9.5367431640625e-07,42630,0,1
5484,2666.6844758987427,42636,0,1
5952,0.000453948974609375,42641,0,1
8539,74.41972732543945,42645,0,2
5496,2666.201428413391,42651,0,1
5495,2666.5869722366333,42656,0,1
8540,13297.328105926514,42657,0,2
8541,14082.043490409851,42657,0,2
5500,2666.2496252059937,42659,0,1
8542,0.01664447784423828,42660,0,2
298,0.000125885009765625,42660,0,1
5501,2666.635169029236,42662,0,1
859,0.0005941390991210938,42666,0,1
5952,0.000453948974609375,42675,0,1
5294,6335.62886428833,42676,0,1
5269,0.005362510681152344,42679,0,1
5529,2666.241093635559,42687,0,1
8543,0.2672538757324219,42697,0,2
8544,0.002140045166015625,42698,0,2
8545,0.006220817565917969,42700,0,2
305,0.0001373291015625,42704,0,1
8546,25.007055282592773,42706,0,2
8547,3476.352381706238,42707,0,2
8548,376144.2258119583,42718,0,2
5541,2666.2892904281616,42725,0,1
30,9.5367431640625e-07,42725,0,1
7603,0.0966796875,42727,0,1
5530,2666.6266374588013,42730,0,1
323,0.000141143798828125,42735,0,1
8549,0.04486274719238281,42743,0,2
5247,53944.09265899658,42744,0,1
5537,2666.674834251404,42751,0,1
8550,187765.68449687958,42757,0,2
5565,2666.2324895858765,42758,0,1
5576,2666.6180334091187,42761,0,1
8551,0.0008335113525390625,42761,0,2
8552,0.013093948364257812,42762,0,2
8553,0.012370109558105469,42762,0,2
5580,2666.280686378479,42768,0,1
8554,0.007060050964355469,42774,0,2
8555,496.1681098937988,42782,0,2
8556,63.11219120025635,42783,0,2
8557,808551.8333911896,42784,0,2
8558,0.08676910400390625,42786,0,2
8559,374506.5535030365,42800,0,2
8560,0.0031175613403320312,42802,0,2
5586,2666.666230201721,42803,0,1
5269,0.005362510681152344,42805,0,1
8561,11.830093383789062,42822,0,2
5634,2666.6576986312866,42825,0,1
5613,2666.2721548080444,42827,0,1
