id,size,Relative Time (s),time_spent,Access Type
979,4255.008741378784,20223,0,2
54,4.037049293518066,20224,0,1
4508,0.133768081665039,20227,0,2
3100,0.0005502700805664,20227,0,1
4509,0.0036640167236328,20237,0,2
951,791.4830465316772,20238,0,1
980,39513.42874050141,20242,0,2
4511,0.0018672943115234,20243,0,2
4510,217.65903091430664,20243,0,2
88,5.91278076171875e-05,20245,0,1
4512,0.092437744140625,20250,0,2
4513,2052.7259607315063,20269,0,2
88,5.91278076171875e-05,20280,0,1
981,66.83230400085449,20284,0,2
982,150.74256896972656,20299,0,2
4514,1944.254949569702,20304,0,2
88,5.91278076171875e-05,20308,0,1
983,39774.091833114624,20309,0,2
243,9.5367431640625e-05,20311,0,1
4515,41554.48216247559,20314,0,2
4516,83.40366840362549,20319,0,2
4518,246.62665462493896,20328,0,2
4517,2975143.4838724136,20328,0,2
4519,1802.5625171661377,20329,0,2
405,0.0505218505859375,20329,0,1
88,5.91278076171875e-05,20337,0,1
166,0.0505218505859375,20348,0,1
244,0.0003604888916015,20348,0,1
4520,577.1593151092529,20352,0,2
984,28027.623225212097,20352,0,2
4521,737.6831111907959,20354,0,2
4522,651.8582620620728,20356,0,2
4292,163.69624137878418,20362,0,1
30,9.5367431640625e-07,20367,0,1
4523,621.7121639251709,20373,0,2
4236,17282.78550338745,20376,0,1
88,5.91278076171875e-05,20380,0,1
4524,0.0005168914794921,20390,0,2
30,9.5367431640625e-07,20393,0,1
4525,1903.596117973328,20394,0,2
985,974.1898536682128,20409,0,2
4526,0.0080909729003906,20411,0,2
4527,18.3977575302124,20413,0,2
4528,8.348159790039062,20414,0,2
4529,0.0007514953613281,20416,0,2
65,9.1552734375e-05,20416,0,1
57,8.20159912109375e-05,20417,0,1
27,7.43865966796875e-05,20417,0,1
427,0.0498046875,20419,0,1
607,0.0048179626464843,20419,0,2
4530,47.89090538024902,20419,0,2
36,0.0002384185791015,20421,0,1
59,9.34600830078125e-05,20421,0,1
238,8.392333984375e-05,20422,0,1
88,5.91278076171875e-05,20426,0,1
608,1.054713249206543,20437,0,2
609,73689.88475990295,20443,0,2
4531,1462266.693523407,20445,0,2
4532,0.105778694152832,20451,0,2
607,0.0048179626464843,20455,0,1
986,1082.491560935974,20464,0,2
470,0.0,20467,0,1
54,4.037049293518066,20468,0,1
4480,8636.743404388428,20468,0,1
184,0.0007486343383789,20470,0,1
4252,0.0277061462402343,20471,0,1
470,0.0,20476,0,1
88,5.91278076171875e-05,20479,0,1
4533,0.0141468048095703,20486,0,2
149,0.0504379272460937,20488,0,1
585,0.068939208984375,20491,0,1
470,0.0,20492,0,1
427,0.0498046875,20498,0,1
3633,0.7298870086669922,20502,0,1
4534,1.9130029678344729,20513,0,2
4535,360.0916681289673,20515,0,2
88,5.91278076171875e-05,20516,0,1
4536,408.4869260787964,20532,0,2
4537,57800.24639892578,20533,0,2
571,0.009918212890625,20541,0,1
405,0.0505218505859375,20542,0,1
987,1068.556589126587,20544,0,2
988,8.831231117248535,20546,0,2
4538,885350.3837480545,20555,0,2
4539,25237.49270439148,20556,0,2
4540,146810.3509721756,20557,0,2
4538,885350.3837480545,20557,0,1
243,9.5367431640625e-05,20575,0,1
88,5.91278076171875e-05,20582,0,1
585,0.068939208984375,20587,0,1
989,1086.699065208435,20589,0,2
990,1114.9809246063232,20599,0,2
4541,85108.0878648758,20607,0,2
610,0.000213623046875,20612,0,2
4542,1282.7832794189453,20612,0,2
4543,0.000533103942871,20615,0,2
4544,1438.532832145691,20615,0,2
30,9.5367431640625e-07,20616,0,1
4545,895.7549991607666,20616,0,2
88,5.91278076171875e-05,20617,0,1
991,892.7759647369385,20622,0,2
992,41986.6338891983,20625,0,2
4546,6.955714225769043,20640,0,2
30,9.5367431640625e-07,20642,0,1
88,5.91278076171875e-05,20643,0,1
4549,1793.1726055145264,20648,0,2
4548,2443.080972671509,20648,0,2
4547,2066.8358240127563,20648,0,2
993,1088.7916431427002,20648,0,2
4538,885350.3837480545,20650,0,1
4550,3659.177081108093,20655,0,2
301,0.0002861022949218,20656,0,1
611,571.5147848129272,20660,0,2
4551,2711.8954305648804,20664,0,2
88,5.91278076171875e-05,20675,0,1
4552,1600710.5690956116,20685,0,2
153,9.1552734375e-05,20691,0,1
4553,2958.514936447144,20701,0,2
4554,2877.2274255752563,20702,0,2
4555,808.257664680481,20704,0,2
4556,13.077676773071287,20705,0,2
54,4.037049293518066,20718,0,1
612,170.6903018951416,20720,0,2
4557,2352.9909706115723,20724,0,2
166,0.0505218505859375,20730,0,1
88,5.91278076171875e-05,20733,0,1
4558,0.0261821746826171,20742,0,2
4559,38.68356513977051,20743,0,2
4560,1.4946775436401367,20744,0,2
994,61.48299217224121,20746,0,2
4450,827.4113969802856,20748,0,1
4561,467.6306209564209,20750,0,2
4562,2853639.6094055176,20751,0,2
996,40585.22727203369,20752,0,2
995,39897.20561122894,20752,0,2
154,7.43865966796875e-05,20769,0,1
939,0.0001325607299804,20779,0,1
88,5.91278076171875e-05,20786,0,1
4563,174.92479419708252,20786,0,2
4564,1032459.8593845367,20787,0,2
460,0.0506057739257812,20800,0,1
997,8866.657695770264,20809,0,2
88,5.91278076171875e-05,20827,0,1
669,0.0100421905517578,20830,0,1
4565,270.2777452468872,20831,0,2
998,0.5568122863769531,20838,0,2
4566,11186.955799102783,20848,0,2
30,9.5367431640625e-07,20853,0,1
88,5.91278076171875e-05,20864,0,1
4567,610685.3445444107,20871,0,2
999,13191.34460258484,20875,0,2
1000,40703.83544063568,20880,0,2
613,0.0063972473144531,20884,0,2
30,9.5367431640625e-07,20885,0,1
4568,144.7947483062744,20885,0,2
166,0.0505218505859375,20890,0,1
4569,5683.082584381104,20896,0,2
88,5.91278076171875e-05,20900,0,1
4572,767.8850259780884,20901,0,2
4571,708.4307813644409,20901,0,2
4570,45.18052005767822,20901,0,2
1001,40887.7555847168,20904,0,2
4292,163.69624137878418,20907,0,1
153,9.1552734375e-05,20908,0,1
4573,167963.9022359848,20918,0,2
4574,737.8557014465332,20923,0,2
4575,1104.905276298523,20924,0,2
88,5.91278076171875e-05,20925,0,1
1002,45.88130760192871,20951,0,2
939,0.0001325607299804,20955,0,1
88,5.91278076171875e-05,20958,0,1
4576,107.8453426361084,20959,0,2
4577,85109.82806301117,20968,0,2
405,0.0505218505859375,20975,0,1
54,4.037049293518066,20983,0,1
4236,17282.78550338745,20984,0,1
4578,2426.738476753235,20998,0,2
994,61.48299217224121,21003,0,1
88,5.91278076171875e-05,21013,0,1
4579,1073.755618095398,21016,0,2
4580,64366.4311170578,21016,0,2
4581,1541785.9800510406,21019,0,2
4328,164.4488868713379,21031,0,1
4582,1506.270133972168,21031,0,2
4583,1902.8563804626465,21032,0,2
4584,1.0375566482543943,21037,0,2
4252,0.0277061462402343,21041,0,1
88,5.91278076171875e-05,21043,0,1
4526,0.0080909729003906,21045,0,1
4585,91.43658256530762,21052,0,2
4586,65.00759696960449,21053,0,2
614,0.0027685165405273,21056,0,2
615,4106.743765830994,21061,0,2
4333,93.1324338912964,21062,0,1
166,0.0505218505859375,21063,0,1
4587,3218.2048683166504,21063,0,2
4588,142175.43783283234,21069,0,2
4589,391.7648391723633,21072,0,2
88,5.91278076171875e-05,21074,0,1
4590,1907.923973083496,21075,0,2
1003,46.89818000793457,21077,0,2
4591,0.0144405364990234,21078,0,2
4592,7.702937126159668,21090,0,2
4593,60.4652624130249,21092,0,2
1012,0.0005035400390625,21095,0,1
4594,0.2765827178955078,21095,0,2
30,9.5367431640625e-07,21095,0,1
4595,0.1593799591064453,21095,0,2
4321,115.41468715667725,21097,0,1
1004,13.610130310058594,21101,0,2
4596,363.8496799468994,21106,0,2
4480,8636.743404388428,21112,0,1
88,5.91278076171875e-05,21114,0,1
4597,9.250640869140624e-05,21116,0,2
30,9.5367431640625e-07,21137,0,1
2436,0.0001087188720703,21138,0,1
4599,31.445273399353027,21139,0,2
4598,1399.3780345916748,21139,0,2
4600,18.975377082824707,21144,0,2
4601,3223.5993785858154,21149,0,2
4602,2521957.5001134872,21151,0,2
88,5.91278076171875e-05,21153,0,1
4603,0.094212532043457,21163,0,2
4604,0.0893669128417968,21165,0,2
1005,13.032611846923828,21165,0,2
4605,4524.599314689636,21167,0,2
1006,0.001997947692871,21169,0,2
4385,0.0056285858154296,21172,0,1
616,11.624897003173828,21173,0,2
4606,886943.4586219788,21173,0,2
405,0.0505218505859375,21175,0,1
4607,183.11164093017575,21175,0,2
4608,3022034.621190071,21177,0,2
4609,60.20468044281006,21178,0,2
54,4.037049293518066,21182,0,1
617,0.1793804168701172,21188,0,2
1007,10.75805377960205,21199,0,2
4610,25328.83647346497,21202,0,2
618,0.0085620880126953,21204,0,2
1548,0.0027379989624023,21204,0,1
4611,235.70437717437744,21219,0,2
88,5.91278076171875e-05,21220,0,1
581,0.0100421905517578,21221,0,1
4612,15.854037284851074,21222,0,2
4613,1747.812512397766,21224,0,2
1008,375.6455783843994,21231,0,2
4614,0.3124704360961914,21232,0,2
619,0.1817588806152343,21237,0,2
585,0.068939208984375,21246,0,1
1009,0.000101089477539,21247,0,2
82,8.20159912109375e-05,21249,0,1
203,8.392333984375e-05,21250,0,1
153,9.1552734375e-05,21250,0,1
299,0.0498046875,21251,0,1
244,0.0003604888916015,21251,0,1
113,9.34600830078125e-05,21252,0,1
1010,0.0048131942749023,21252,0,2
853,8.58306884765625e-05,21253,0,1
1011,18166.281574249268,21254,0,2
1012,0.0001811981201171,21255,0,2
4615,367.6868381500244,21257,0,2
1013,11338.192732810974,21261,0,2
166,0.0505218505859375,21266,0,1
4616,139.7375030517578,21268,0,2
1014,0.0028915405273437,21273,0,2
603,11329.467540740969,21276,0,1
1015,0.0438709259033203,21285,0,2
1016,8.715120315551758,21289,0,2
88,5.91278076171875e-05,21290,0,1
1017,38761.61614513397,21294,0,2
4617,0.0297040939331054,21297,0,2
451,0.0001039505004882,21298,0,1
4618,109.50842571258544,21299,0,2
4619,416.9428405761719,21303,0,2
1018,0.0048141479492187,21308,0,2
371,0.0001487731933593,21310,0,1
4621,249.4398670196533,21310,0,2
4620,0.0005149841308593,21310,0,2
