ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
116,32.299999,0.275768,0.043067,0.922770,9,6,0.275076,0.046408,2.062852
117,17.200001,0.146848,0.022933,0.492812,9,6,0.146480,0.024713,1.071305
118,266.700012,2.277004,0.355600,7.563018,9,6,2.271294,0.383190,16.894712
119,243.300003,2.077222,0.324400,6.899445,9,6,2.072013,0.349569,15.412386
120,11.900000,0.101599,0.015867,0.340957,9,6,0.101344,0.017098,0.741194
121,120.500000,1.028793,0.160667,3.421276,9,6,1.026213,0.173132,7.442558
122,2.400000,0.020490,0.003200,0.068142,9,6,0.020439,0.003448,0.148234
123,152.199997,1.299438,0.202933,4.316052,9,6,1.296179,0.218678,9.641451
124,157.100006,1.341273,0.209467,4.455006,9,6,1.337909,0.225718,9.951853
125,189.500000,1.617894,0.252667,5.373797,9,6,1.613836,0.272270,12.004304
126,121.400002,1.036477,0.161867,3.446829,9,6,1.033877,0.174425,7.498146
127,196.399994,1.676804,0.261867,5.569466,9,6,1.672599,0.282184,12.441399
128,2.100000,0.017929,0.002800,0.059551,9,6,0.017884,0.003017,0.133029
129,68.800003,0.587394,0.091733,1.965529,9,6,0.585921,0.098851,4.393938
130,247.000000,2.108812,0.329333,7.004369,9,6,2.103523,0.354885,15.646770
131,2.200000,0.018783,0.002933,0.062387,9,6,0.018736,0.003161,0.139364
132,133.300003,1.138075,0.177733,3.784698,9,6,1.135221,0.191523,8.233137
133,191.699997,1.636677,0.255600,5.436184,9,6,1.632572,0.275431,12.143667
134,2.100000,0.017929,0.002800,0.059551,9,6,0.017884,0.003017,0.133029
135,213.199997,1.820237,0.284267,6.045876,9,6,1.815672,0.306322,13.505633
136,124.099998,1.059528,0.165467,3.523488,9,6,1.056871,0.178305,7.664908
137,138.199997,1.179910,0.184267,3.923820,9,6,1.176951,0.198563,8.535780
138,52.299999,0.446522,0.069733,1.494145,9,6,0.445402,0.075144,3.340159
139,48.599998,0.414932,0.064800,1.388440,9,6,0.413892,0.069828,3.103857
140,146.500000,1.250773,0.195333,4.159477,9,6,1.247636,0.210489,9.048421
141,70.500000,0.601908,0.094000,2.014096,9,6,0.600398,0.101293,4.502509
142,74.300003,0.634351,0.099067,2.122657,9,6,0.632760,0.106753,4.745198
143,51.700001,0.441399,0.068933,1.477003,9,6,0.440292,0.074282,3.301840
144,2.500000,0.021344,0.003333,0.071422,9,6,0.021291,0.003592,0.159663
145,154.600006,1.319928,0.206133,4.384111,9,6,1.316618,0.222126,9.793485
146,67.800003,0.578856,0.090400,1.936960,9,6,0.577404,0.097414,4.330073
147,158.300003,1.351518,0.211067,4.489035,9,6,1.348128,0.227443,10.027870
148,192.300003,1.641800,0.256400,5.453199,9,6,1.637682,0.276293,12.181676
149,132.699997,1.132953,0.176933,3.767662,9,6,1.130111,0.190661,8.196079
150,2.200000,0.018783,0.002933,0.062463,9,6,0.018736,0.003161,0.135881
151,124.599998,1.063797,0.166133,3.537685,9,6,1.061129,0.179023,7.695790
152,227.000000,1.938058,0.302667,6.437214,9,6,1.933197,0.326149,14.379825
153,134.500000,1.148321,0.179333,3.818769,9,6,1.145441,0.193247,8.307254
154,212.800003,1.816822,0.283733,6.034533,9,6,1.812266,0.305747,13.480295
