ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
140,727.317932,6.018587,1.082318,20.737461,9,6,5.617008,0.911426,44.660042
141,81.257729,0.672411,0.120919,2.307096,9,6,0.627546,0.101827,5.018800
142,176.441422,1.460060,0.262562,5.003485,9,6,1.362640,0.221105,11.177079
143,491.476166,4.066987,0.731363,14.013085,9,6,3.795624,0.615885,30.178475
144,717.859009,5.940314,1.068243,20.467766,9,6,5.543957,0.899573,44.079229
145,727.597412,6.020900,1.082734,20.745430,9,6,5.619166,0.911776,44.677203
146,739.808289,6.121946,1.100905,21.093589,9,6,5.713470,0.927078,45.426997
147,596.897827,4.939355,0.888241,17.018892,9,6,4.609786,0.747992,36.651760
148,493.114838,4.080547,0.733802,14.059807,9,6,3.808279,0.617938,30.279096
149,709.758057,5.873279,1.056188,20.236790,9,6,5.481394,0.889421,43.581800
150,258.638672,2.140246,0.384879,7.334416,9,6,1.997442,0.324109,16.384048
151,322.641998,2.669877,0.480122,9.199245,9,6,2.491734,0.404313,19.811426
152,799.511353,6.615991,1.189749,22.795857,9,6,6.174551,1.001894,49.092988
153,642.172852,5.314008,0.955614,18.309785,9,6,4.959440,0.804728,39.431815
154,637.717590,5.277141,0.948985,18.182755,9,6,4.925033,0.799145,39.158246
155,753.069580,6.252059,1.141015,21.471698,9,6,5.992828,1.120639,46.241289
156,639.565125,5.292429,0.951734,18.235433,9,6,4.939301,0.801460,39.271691
157,804.619202,6.658259,1.197350,22.941494,9,6,6.213998,1.008295,49.406629
158,120.821907,0.999807,0.179795,3.430416,9,6,0.933096,0.151406,7.462441
159,127.598282,1.055881,0.189878,3.622813,9,6,0.985429,0.159898,7.880976
160,293.000580,2.424593,0.436013,8.308843,9,6,2.262816,0.367169,18.560781
161,309.993347,2.565208,0.461300,8.838604,9,6,2.394049,0.388463,19.034751
162,775.855347,6.420237,1.154547,22.121372,9,6,5.991858,0.972250,47.640421
163,666.210815,5.512923,0.991385,18.995161,9,6,5.145083,0.834851,40.907836
164,501.887787,4.153143,0.746857,14.309944,9,6,3.876032,0.628932,30.817788
165,745.783264,6.171389,1.109797,21.263949,9,6,5.759614,0.934565,45.793882
166,196.338669,1.624711,0.292171,5.567727,9,6,1.516305,0.246038,12.437514
167,641.785400,5.310802,0.955038,18.298738,9,6,4.956448,0.804242,39.408024
168,540.637390,4.473798,0.804520,15.414782,9,6,4.175292,0.677490,33.197158
169,193.428238,1.600627,0.287840,5.485193,9,6,1.493828,0.242391,12.253147
170,192.380325,1.591956,0.286280,5.455477,9,6,1.485735,0.241078,12.186764
171,735.262390,6.084328,1.094140,20.963976,9,6,5.678362,0.921381,45.147861
172,733.893311,6.072999,1.092103,20.924940,9,6,5.667789,0.919666,45.063795
173,805.701416,6.667214,1.198960,22.972350,9,6,6.222356,1.009651,49.473081
174,698.740234,5.782106,1.039792,19.922647,9,6,5.396305,0.875614,42.905264
175,559.653625,4.631158,0.832818,15.956977,9,6,4.322152,0.701320,34.364826
176,690.361389,5.712770,1.027323,19.683748,9,6,5.331596,0.865115,42.390772
177,608.651672,5.036619,0.905732,17.354021,9,6,4.700559,0.762721,37.373490
178,783.254639,6.481466,1.165557,22.332342,9,6,6.049002,0.981522,48.094765
179,622.348877,5.149964,0.926114,17.744559,9,6,4.806342,0.779886,38.214549
180,318.774933,2.637876,0.474367,9.088986,9,6,2.461869,0.399467,19.573973
181,338.785858,2.803468,0.504146,9.659543,9,6,2.616411,0.424544,20.802719
182,692.048340,5.726730,1.029834,19.731846,9,6,5.344624,0.867228,42.494357
183,470.241302,3.891267,0.699764,13.407632,9,6,3.631629,0.589275,28.874575
184,594.041992,4.915723,0.883991,16.937466,9,6,4.587730,0.744414,36.476401
185,68.016563,0.562840,0.101215,1.943147,9,6,0.525285,0.085234,4.343903
186,38.732754,0.320515,0.057638,1.106546,9,6,0.299129,0.048537,2.473682
187,782.952820,6.478969,1.165108,22.323737,9,6,6.046671,0.981144,48.076232
188,811.757751,6.717331,1.207973,23.145030,9,6,6.269128,1.017240,49.844963
189,559.034241,4.626033,0.831896,15.939317,9,6,4.317369,0.700544,34.326794
190,523.872986,4.335072,0.779573,14.936791,9,6,4.045822,0.656482,32.167761
191,601.189575,4.974870,0.894627,17.141260,9,6,4.642930,0.753370,36.915289
192,762.544556,6.310089,1.134739,21.741851,9,6,5.889060,0.955570,46.823088
193,491.128876,4.064113,0.730847,14.003183,9,6,3.792942,0.615450,30.157150
194,430.219055,3.560081,0.640207,12.266508,9,6,3.322541,0.539122,26.417059
195,560.453064,4.637773,0.834008,15.979771,9,6,4.328326,0.702322,34.413915
196,740.686035,6.129209,1.102211,21.118616,9,6,5.720248,0.928178,45.480893
197,347.234375,2.873380,0.516718,9.900429,9,6,2.681658,0.435131,21.321490
198,705.377930,5.837033,1.049670,20.111903,9,6,5.447567,0.883932,43.312844
