ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
177187,70.434044,0.546702,0.128062,1.524729,6,5,0.501168,0.125775,4.163031
177188,53.467575,0.435851,0.121517,1.192549,5,4,0.396926,0.119347,2.910860
177189,674.007874,5.656002,0.875335,18.755636,10,7,5.321389,0.859704,44.615272
177190,787.307434,5.268275,1.431468,16.909823,6,5,5.048362,1.405906,44.652763
177191,658.422974,5.525219,0.855095,18.321954,10,7,5.198344,0.839825,43.583646
177192,643.954529,5.790920,0.975689,18.360584,9,6,5.443621,0.958266,39.541217
177193,804.566406,5.378326,0.914280,15.626623,9,8,5.026026,0.897954,57.193847
177194,17.093719,0.145747,0.038156,0.445571,6,4,0.132302,0.032131,0.909409
177195,313.955597,2.151991,0.407735,6.312901,8,7,1.992863,0.400454,20.814093
177196,781.289429,5.099317,0.789181,14.639181,10,9,4.797638,0.775089,59.281740
177197,692.980347,4.522942,0.699980,12.984515,10,9,4.255362,0.687481,52.581130
177198,796.071472,7.793695,1.206169,25.770377,10,6,7.332615,1.184630,48.841047
177199,497.482849,4.174675,0.646082,13.843469,10,7,3.927699,0.634544,32.930376
177200,686.214600,5.758435,0.891188,19.095313,10,7,5.417763,0.875274,45.423284
177201,700.562500,4.572429,0.707639,13.126583,10,9,4.301921,0.695002,53.156439
177202,601.969910,4.420052,0.684057,14.015134,10,8,4.158559,0.671841,42.761170
177203,753.565735,6.007918,1.141766,18.577306,8,6,5.580551,1.121378,46.310301
177204,785.334656,6.590211,1.019915,21.853529,10,7,6.200330,1.001702,51.984437
177205,128.774338,0.866652,0.229954,2.733236,6,5,0.788579,0.193646,7.360421
177206,218.833282,1.419250,0.325645,4.517884,7,6,1.309704,0.274227,13.864497
177207,760.852661,4.506827,0.773224,15.820283,7,6,4.300932,0.745934,46.797036
177208,805.110291,5.911640,0.914898,18.744672,10,8,5.561904,0.898561,57.191328
177209,782.971069,7.891998,1.423584,22.860756,8,5,7.556845,1.398163,44.326724
177210,375.516022,2.656744,0.568964,7.808042,7,6,2.452788,0.558804,23.096504
177211,803.154846,23.589128,3.650704,40.600749,10,2,22.193580,3.585513,33.722047
177212,707.639221,5.938222,0.919012,19.691496,10,7,5.586913,0.902601,46.841465
177213,771.302185,6.427660,1.168640,19.014555,8,6,6.157690,1.147771,47.400292
177214,327.927032,2.468753,0.596231,7.043231,6,5,2.245657,0.585584,18.598641
177215,731.109802,5.210348,1.107742,15.201845,7,6,4.816941,1.087961,44.967670
177216,282.584839,1.901798,0.504616,6.030056,6,5,1.730472,0.424940,16.616751
177217,669.250122,5.616076,0.869156,18.623242,10,7,5.283826,0.853635,44.300338
177218,102.823944,0.692006,0.183614,2.182439,6,5,0.629665,0.154622,5.877161
177219,764.406738,6.414592,0.992736,21.271167,10,7,6.035101,0.975009,50.599134
177220,748.494324,4.885270,0.756055,14.024692,10,9,4.596255,0.742554,56.793352
177221,781.127441,5.610682,0.952594,19.792008,7,5,5.291067,0.918973,44.262305
177222,769.845947,6.460236,0.999800,21.422524,10,7,6.078044,0.981946,50.959177
177223,199.512543,1.421226,0.302292,4.119001,7,6,1.315027,0.296894,12.640404
177224,768.122681,5.013381,0.775881,14.392472,10,9,4.716786,0.762026,58.282689
177225,452.726807,3.073732,0.587957,9.103261,8,7,2.851703,0.577458,30.014110
177226,716.136719,4.674079,0.723370,13.418401,10,9,4.397557,0.710453,54.338161
177227,13.624483,0.136444,0.030965,0.355141,6,4,0.129652,0.030412,0.724841
177228,492.226776,3.212664,0.497199,9.222954,10,9,3.022601,0.488320,37.348592
177229,56.967655,0.516373,0.103578,1.449054,7,5,0.493973,0.101728,3.369835
177230,766.485901,5.131606,0.871007,14.887007,9,8,4.825416,0.855453,54.486835
177231,758.761536,6.657324,1.149639,21.633989,9,6,6.245069,1.129109,46.590797
177232,345.039154,2.460587,0.448103,6.937918,8,7,2.341926,0.440101,22.874817
177233,180.597153,1.292111,0.273632,3.728487,7,6,1.202062,0.268746,11.441992
177234,683.955994,4.464042,0.690865,12.815424,10,9,4.199946,0.678528,51.896391
177235,41.009670,0.403630,0.093204,1.070064,6,4,0.384191,0.091539,2.234605
177236,361.456482,2.437865,0.410746,7.020358,9,8,2.291659,0.403411,25.694693
177237,786.358337,7.033324,1.191452,22.420835,9,6,6.600698,1.170176,48.285344
177238,529.951538,4.447139,0.688249,14.746976,10,7,4.184043,0.675959,35.079608
177239,785.949890,7.694603,1.190833,25.442722,10,6,7.239385,1.169568,48.220062
177240,509.858765,3.327744,0.515009,9.553328,10,9,3.130873,0.505812,38.686450
177241,260.301270,1.767283,0.338054,5.193461,8,7,1.639625,0.332017,17.677106
177242,664.328491,4.335937,0.671039,12.447659,10,9,4.079420,0.659056,50.407119
177243,34.116985,0.314501,0.060923,0.997078,8,5,0.299372,0.051304,2.019780
177244,698.662659,6.425653,1.058580,19.920435,9,6,6.148575,1.039677,42.900501
177245,123.084442,0.828359,0.219794,2.612468,6,5,0.753735,0.185089,7.035201
177246,50.785965,0.361160,0.113362,1.132738,5,4,0.321369,0.095462,2.764869
177247,650.051147,5.396789,0.984926,18.534413,9,6,5.173021,0.967338,39.915572
177248,754.362732,5.539019,0.857230,17.563161,10,8,5.211327,0.841923,53.586455
177249,769.138733,5.020012,0.776908,14.411510,10,9,4.723025,0.763034,58.359784
177250,611.324524,4.835807,0.926249,15.070700,8,6,4.532125,0.909709,37.568882
177251,600.654114,5.005561,0.910082,14.807647,8,6,4.795321,0.893831,36.913133
177252,550.683105,3.712532,0.625776,10.695596,9,8,3.463488,0.614602,39.146160
177253,448.954803,3.767447,0.583058,12.493078,10,7,3.544563,0.572646,29.718111
177254,192.355637,1.614171,0.249813,5.321360,10,7,1.518675,0.245352,13.061138
177255,784.920349,5.123015,0.792849,14.707214,10,9,4.819935,0.778691,59.557243
177256,298.834717,2.011160,0.533633,6.376811,6,5,1.829981,0.449376,17.572287
177257,560.889954,3.998646,0.684012,14.211687,7,5,3.804705,0.659871,31.782627
177258,111.191620,0.843572,0.202167,2.360043,6,5,0.769373,0.198556,6.355436
177259,147.227859,1.116966,0.267687,3.124912,6,5,1.018720,0.262907,8.415178
177260,762.498901,6.398582,0.990258,21.218078,10,7,6.020038,0.972575,50.472847
177261,605.852112,3.954274,0.611972,11.351975,10,9,3.720336,0.601044,45.970118
177262,283.366608,1.989589,0.368009,5.653654,8,7,1.852815,0.361437,19.243477
177263,71.879433,0.545324,0.130690,1.556018,6,5,0.497358,0.128356,4.248461
177264,99.847420,0.711262,0.151284,2.053934,7,6,0.658114,0.148582,6.153340
177265,740.137695,4.830728,0.747614,13.868112,10,9,4.544939,0.734264,56.159278
177266,409.242920,3.434201,0.531484,11.388014,10,7,3.231032,0.521994,27.089423
177267,183.962143,1.619189,0.334477,4.634953,7,5,1.545968,0.328504,10.816625
177268,772.177368,5.039845,0.779977,14.468446,10,9,4.741684,0.766049,58.590346
177269,775.393188,5.060834,0.783225,14.528701,10,9,4.761432,0.769239,58.834352
177270,417.371307,2.724098,0.421587,7.820372,10,9,2.562938,0.414059,31.668798
177271,736.864929,5.410538,0.837347,17.155775,10,8,5.090448,0.822394,52.343491
177272,420.881805,3.727093,0.765240,10.664196,7,5,3.532891,0.751575,23.849116
177273,197.166275,1.326930,0.352083,4.207316,6,5,1.207392,0.296491,11.593909
177274,800.062622,5.356402,0.909162,15.539148,9,8,5.036799,0.892927,56.873688
177275,790.657593,6.602822,1.197966,19.491714,8,6,6.312214,1.176574,48.589777
177276,84.509583,0.812026,0.188637,2.510010,7,4,0.742925,0.158853,4.464145
177277,759.093628,4.954450,0.766761,14.223293,10,9,4.661341,0.753069,57.597594
177278,145.329620,1.197587,0.295385,3.843150,5,3,1.119030,0.284960,7.017378
177279,14.544834,0.154348,0.044075,0.388420,5,3,0.139215,0.043288,0.708179
177280,786.884827,5.135837,0.794833,14.744023,10,9,4.831998,0.780640,59.706301
