ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
112925,777.008362,7.526521,3.468787,18.285860,3,2,6.881094,2.921084,32.902446
112926,657.476440,9.412112,2.988529,20.548161,5,2,8.917496,2.935163,27.773602
112927,379.829681,3.003164,1.130445,8.938787,3,2,2.911350,1.117146,16.083901
112928,22.910641,0.267902,0.104139,0.626461,4,2,0.249949,0.102280,1.012132
112929,367.991699,4.636887,1.121926,11.500872,5,2,4.365064,1.082329,15.544975
112930,672.605286,11.181617,3.057297,21.020984,5,2,10.487863,3.002702,28.412686
112931,694.259033,7.613861,2.116643,19.018097,4,2,7.503955,2.041938,29.362911
112932,772.093323,8.330192,3.509515,18.170191,3,2,7.300306,3.446845,32.694319
112933,677.266663,7.172787,2.015675,18.552619,4,2,6.982881,1.991961,28.644238
112934,271.500519,2.169479,0.827745,6.358463,3,2,2.136004,0.798531,12.255934
112935,481.412903,5.950615,1.467722,15.045634,5,2,5.560277,1.415920,20.336197
112936,98.503578,0.942618,0.447744,2.284086,3,2,0.924211,0.439748,4.309310
112937,407.634338,6.445931,1.852883,12.739827,5,2,5.859108,1.819796,17.219589
112938,210.024918,1.798452,0.640320,4.918723,3,2,1.750208,0.617720,9.480834
112939,627.403870,5.000854,1.867273,14.765117,3,2,4.936040,1.845305,26.567439
112940,40.302681,0.565594,0.183194,1.104537,4,2,0.529654,0.179923,1.820155
112941,731.354248,8.513928,3.324337,17.211451,3,2,7.949226,3.264974,30.969221
112942,719.802368,8.754526,2.194519,22.496038,5,2,8.185347,2.117066,30.406420
112943,714.862122,7.170889,3.191349,16.823331,3,2,6.542100,2.687452,30.270862
112944,787.597534,7.536819,3.579989,18.535062,3,2,7.389646,3.516060,33.350845
112945,714.697876,6.982639,2.178957,19.577986,4,2,6.502987,2.102053,30.227349
112946,300.014435,4.685626,1.339350,9.340096,5,2,4.363324,1.127874,13.540337
112947,181.727371,2.062376,0.826034,4.956783,4,2,1.928862,0.811283,8.202606
112948,817.143188,8.153293,2.431974,22.384309,4,2,7.574253,2.403362,34.560160
112949,521.690979,5.948365,2.371323,12.277304,3,2,5.475883,2.328978,22.091023
112950,490.001984,7.314993,2.227282,15.314069,5,2,7.156193,2.187509,20.699023
112951,717.058777,9.064921,3.201155,19.642659,4,2,8.319700,2.695710,30.327201
112952,193.726151,1.386962,0.576566,4.537010,3,2,1.287882,0.569783,8.745084
112953,754.795166,6.047129,2.246414,17.763102,3,2,6.085103,2.219986,31.961828
112954,753.176575,9.927955,3.423530,20.632047,4,2,8.833209,3.362395,31.854763
112955,774.186279,10.229285,2.360324,24.195702,5,2,10.036464,2.277018,32.703745
112956,778.899231,9.107941,3.540451,21.336678,4,2,8.497570,3.477229,32.942674
112957,550.070740,5.528837,2.455673,12.945184,3,2,5.034003,2.067935,23.292765
112958,747.401550,5.699758,1.966846,17.589103,3,2,5.659123,1.977253,31.648745
112959,52.025677,0.483891,0.236480,1.228702,3,2,0.449345,0.232257,2.347088
112960,109.099731,0.779833,0.324702,2.529788,3,2,0.703195,0.320882,4.772868
112961,780.207825,10.164023,3.483071,21.372525,4,2,9.434844,2.933112,32.998020
112962,494.875946,4.313912,2.249436,11.646248,3,2,3.943439,2.209268,20.955539
112963,461.072876,4.503625,2.095786,10.850738,3,2,4.408211,2.058361,19.524147
112964,702.339661,4.618270,1.688316,16.528631,3,2,4.199641,1.738465,29.740598
112965,743.549683,11.612760,3.319418,23.238214,5,2,10.813973,2.795300,31.409571
112966,738.583130,8.390481,3.357196,20.232284,4,2,7.988931,3.297246,31.237550
112967,264.047729,2.596334,1.178785,6.183921,3,2,2.369380,0.992661,11.919504
112968,150.023178,1.980523,0.457388,4.652136,5,2,1.914501,0.441245,6.583661
112969,750.011536,6.133238,2.286621,17.650526,3,2,5.882443,2.205916,31.759265
112970,791.591187,9.025790,3.598142,18.629047,3,2,8.308867,3.533889,33.519957
112971,338.635925,2.713021,1.007845,7.969347,3,2,2.730058,0.995988,14.339550
112972,780.675781,7.643577,2.323440,21.385343,4,2,7.255174,2.296105,33.017811
112973,833.138245,6.813009,2.540056,19.606802,3,2,6.534418,2.450407,35.279268
112974,760.920410,12.294674,3.458729,23.781103,5,2,11.162029,3.396966,32.143358
112975,353.910706,2.628767,0.931344,8.328819,3,2,2.616631,0.936272,14.986361
112976,817.483887,6.684995,2.492329,19.238398,3,2,6.411638,2.404364,34.616384
112977,668.476440,7.781948,3.038529,15.731705,3,2,7.265795,2.984270,28.306658
112978,745.366455,7.119547,2.218353,20.418102,4,2,6.649174,2.192254,31.524443
112979,759.592102,12.738408,3.452691,23.739589,5,2,11.979639,3.391036,32.087247
